date,number of issues active in past 90 days,number of issues not active in past 90 days,total number of issues,percentage of issues active in past 90 days
2022-01-02,188,351,539,34.9
2022-01-03,172,352,524,32.8
2022-01-04,173,351,524,33.0
2022-01-05,177,351,528,33.5
2022-01-06,175,352,527,33.2
2022-01-07,172,352,524,32.8
2022-01-08,172,349,521,33.0
2022-01-09,170,353,523,32.5
2022-01-10,170,354,524,32.4
2022-01-11,163,354,517,31.5
2022-01-12,164,355,519,31.6
2022-01-13,158,357,515,30.7
2022-01-14,157,360,517,30.4
2022-01-15,159,360,519,30.6
2022-01-16,165,359,524,31.5
2022-01-17,161,364,525,30.7
2022-01-18,157,359,516,30.4
2022-01-19,149,362,511,29.2
2022-01-20,141,366,507,27.8
2022-01-21,144,367,511,28.2
2022-01-22,146,368,514,28.4
2022-01-23,153,368,521,29.4
2022-01-24,151,370,521,29.0
2022-01-25,152,370,522,29.1
2022-01-26,155,370,525,29.5
2022-01-27,160,370,530,30.2
2022-01-28,159,370,529,30.1
2022-01-29,157,371,528,29.7
2022-01-30,166,370,536,31.0
2022-01-31,153,370,523,29.3
2022-02-01,154,369,523,29.4
2022-02-02,157,370,527,29.8
2022-02-03,154,371,525,29.3
2022-02-04,155,373,528,29.4
2022-02-05,153,372,525,29.1
2022-02-06,152,372,524,29.0
2022-02-07,150,375,525,28.6
2022-02-08,151,377,528,28.6
2022-02-09,148,381,529,28.0
2022-02-10,153,381,534,28.7
2022-02-11,152,380,532,28.6
2022-02-12,145,381,526,27.6
2022-02-13,148,381,529,28.0
2022-02-14,144,385,529,27.2
2022-02-15,145,386,531,27.3
2022-02-16,148,386,534,27.7
2022-02-17,141,389,530,26.6
2022-02-18,140,387,527,26.6
2022-02-19,145,387,532,27.3
2022-02-20,144,387,531,27.1
2022-02-21,146,388,534,27.3
2022-02-22,147,388,535,27.5
2022-02-23,149,389,538,27.7
2022-02-24,143,389,532,26.9
2022-02-25,143,390,533,26.8
2022-02-26,144,390,534,27.0
2022-02-27,144,390,534,27.0
2022-02-28,146,390,536,27.2
2022-03-01,147,390,537,27.4
2022-03-02,160,391,551,29.0
2022-03-03,153,391,544,28.1
2022-03-04,154,385,539,28.6
2022-03-05,156,383,539,28.9
2022-03-06,157,381,538,29.2
2022-03-07,155,383,538,28.8
2022-03-08,190,363,553,34.4
2022-03-09,190,361,551,34.5
2022-03-10,191,362,553,34.5
2022-03-11,190,362,552,34.4
2022-03-12,180,361,541,33.3
2022-03-13,177,361,538,32.9
2022-03-14,171,365,536,31.9
2022-03-15,166,364,530,31.3
2022-03-16,162,364,526,30.8
2022-03-17,156,363,519,30.1
2022-03-18,160,364,524,30.5
2022-03-19,154,364,518,29.7
2022-03-20,155,363,518,29.9
2022-03-21,153,363,516,29.7
2022-03-22,157,362,519,30.3
2022-03-23,161,361,522,30.8
2022-03-24,162,357,519,31.2
2022-03-25,168,358,526,31.9
2022-03-26,177,356,533,33.2
2022-03-27,181,356,537,33.7
2022-03-28,183,357,540,33.9
2022-03-29,182,357,539,33.8
2022-03-30,181,357,538,33.6
2022-03-31,179,356,535,33.5
2022-04-01,182,356,538,33.8
2022-04-02,189,352,541,34.9
2022-04-03,192,353,545,35.2
2022-04-04,202,353,555,36.4
2022-04-05,193,360,553,34.9
2022-04-06,185,363,548,33.8
2022-04-07,182,363,545,33.4
2022-04-08,195,363,558,34.9
2022-04-09,198,363,561,35.3
2022-04-10,198,363,561,35.3
2022-04-11,196,364,560,35.0
2022-04-12,194,362,556,34.9
2022-04-13,194,363,557,34.8
2022-04-14,192,363,555,34.6
2022-04-15,203,362,565,35.9
2022-04-16,192,364,556,34.5
2022-04-17,194,363,557,34.8
2022-04-18,193,363,556,34.7
2022-04-19,192,365,557,34.5
2022-04-20,197,367,564,34.9
2022-04-21,193,367,560,34.5
2022-04-22,190,366,556,34.2
2022-04-23,188,364,552,34.1
2022-04-24,188,363,551,34.1
2022-04-25,186,365,551,33.8
2022-04-26,180,363,543,33.1
2022-04-27,182,362,544,33.5
2022-04-28,180,363,543,33.1
2022-04-29,177,361,538,32.9
2022-04-30,187,361,548,34.1
2022-05-01,187,360,547,34.2
2022-05-02,198,361,559,35.4
2022-05-03,189,361,550,34.4
2022-05-04,188,362,550,34.2
2022-05-05,182,363,545,33.4
2022-05-06,185,365,550,33.6
2022-05-07,186,366,552,33.7
2022-05-08,184,369,553,33.3
2022-05-09,185,369,554,33.4
2022-05-10,183,369,552,33.2
2022-05-11,191,368,559,34.2
2022-05-12,190,368,558,34.1
2022-05-13,192,369,561,34.2
2022-05-14,200,369,569,35.1
2022-05-15,190,370,560,33.9
