date,number of issues active in past 90 days,number of issues not active in past 90 days,total number of issues,percentage of issues active in past 90 days
2025-01-23,289,601,890,32.5
2025-01-24,288,600,888,32.4
2025-01-25,289,600,889,32.5
2025-01-26,288,602,890,32.4
2025-01-27,286,604,890,32.1
2025-01-28,284,605,889,31.9
2025-01-29,280,606,886,31.6
2025-01-30,275,605,880,31.3
2025-01-31,286,605,891,32.1
2025-02-01,299,602,901,33.2
2025-02-02,299,601,900,33.2
2025-02-03,276,589,865,31.9
2025-02-04,272,594,866,31.4
2025-02-05,285,594,879,32.4
2025-02-06,273,594,867,31.5
2025-02-07,278,594,872,31.9
2025-02-08,280,594,874,32.0
2025-02-09,281,595,876,32.1
2025-02-10,261,593,854,30.6
2025-02-11,261,592,853,30.6
2025-02-12,260,593,853,30.5
2025-02-13,261,592,853,30.6
2025-02-14,265,591,856,31.0
2025-02-15,272,591,863,31.5
2025-02-16,273,592,865,31.6
2025-02-17,273,592,865,31.6
2025-02-18,279,591,870,32.1
2025-02-19,281,591,872,32.2
2025-02-20,282,592,874,32.3
2025-02-21,282,593,875,32.2
2025-02-22,245,594,839,29.2
2025-02-23,211,595,806,26.2
2025-02-24,199,596,795,25.0
2025-02-25,199,599,798,24.9
2025-02-26,198,599,797,24.8
2025-02-27,197,601,798,24.7
2025-02-28,203,601,804,25.2
2025-03-01,205,601,806,25.4
2025-03-02,214,601,815,26.3
2025-03-03,220,601,821,26.8
2025-03-05,206,598,804,25.6
2025-03-06,209,598,807,25.9
2025-03-07,211,595,806,26.2
2025-03-08,217,594,811,26.8
2025-03-09,215,597,812,26.5
2025-03-10,211,601,812,26.0
2025-03-11,211,601,812,26.0
2025-03-12,212,601,813,26.1
2025-03-13,211,600,811,26.0
2025-03-14,220,599,819,26.9
2025-03-15,229,598,827,27.7
2025-03-16,232,598,830,28.0
2025-03-17,229,599,828,27.7
2025-03-18,232,599,831,27.9
2025-03-19,234,599,833,28.1
2025-03-20,235,598,833,28.2
2025-03-21,238,597,835,28.5
2025-03-22,239,597,836,28.6
2025-03-23,239,597,836,28.6
2025-03-24,239,597,836,28.6
2025-03-25,239,597,836,28.6
2025-03-26,239,597,836,28.6
2025-03-27,241,596,837,28.8
2025-03-28,238,595,833,28.6
2025-03-29,228,595,823,27.7
2025-03-30,222,603,825,26.9
2025-03-31,226,603,829,27.3
2025-04-01,215,613,828,26.0
2025-04-02,217,613,830,26.1
2025-04-03,219,612,831,26.4
2025-04-04,216,613,829,26.1
2025-04-05,215,612,827,26.0
2025-04-06,217,612,829,26.2
2025-04-07,217,613,830,26.1
2025-04-08,217,613,830,26.1
2025-04-09,215,614,829,25.9
2025-04-10,215,615,830,25.9
2025-04-11,214,617,831,25.8
2025-04-12,215,617,832,25.8
2025-04-13,216,618,834,25.9
2025-04-14,212,622,834,25.4
2025-04-15,212,623,835,25.4
2025-04-16,210,618,828,25.4
2025-04-17,206,623,829,24.8
2025-04-18,212,618,830,25.5
2025-04-19,211,618,829,25.5
2025-04-20,209,618,827,25.3
2025-04-21,208,617,825,25.2
2025-04-22,208,618,826,25.2
2025-04-23,204,619,823,24.8
2025-04-24,206,620,826,24.9
2025-04-25,212,620,832,25.5
2025-04-26,199,620,819,24.3
2025-04-27,192,620,812,23.6
2025-04-28,192,620,812,23.6
2025-04-29,192,620,812,23.6
2025-04-30,190,624,814,23.3
2025-05-01,188,625,813,23.1
2025-05-02,189,625,814,23.2
2025-05-03,191,625,816,23.4
2025-05-04,191,624,815,23.4
2025-05-05,190,626,816,23.3
2025-05-06,190,627,817,23.3
2025-05-07,189,627,816,23.2
2025-05-08,182,627,809,22.5
2025-05-09,182,630,812,22.4
2025-05-10,180,630,810,22.2
2025-05-11,178,633,811,21.9
2025-05-12,174,636,810,21.5
2025-05-13,178,636,814,21.9
2025-05-14,181,637,818,22.1
2025-05-15,178,636,814,21.9
2025-05-16,181,591,772,23.4
2025-05-17,183,591,774,23.6
2025-05-18,180,594,774,23.3
2025-05-19,176,594,770,22.9
2025-05-20,175,595,770,22.7
2025-05-21,178,595,773,23.0
2025-05-22,178,596,774,23.0
2025-05-23,178,596,774,23.0
2025-05-24,178,597,775,23.0
2025-05-25,181,597,778,23.3
2025-05-26,173,598,771,22.4
2025-05-27,174,599,773,22.5
2025-05-28,178,598,776,22.9
2025-05-29,185,594,779,23.7
2025-05-30,183,594,777,23.6
2025-05-31,187,594,781,23.9
2025-06-01,186,594,780,23.8
2025-06-02,186,593,779,23.9
2025-06-03,183,594,777,23.6
2025-06-04,183,593,776,23.6
2025-06-05,179,595,774,23.1
2025-06-06,182,592,774,23.5
2025-06-07,183,592,775,23.6
2025-06-08,185,592,777,23.8
2025-06-09,185,592,777,23.8
2025-06-10,184,593,777,23.7
2025-06-11,178,591,769,23.1
2025-06-12,176,595,771,22.8
2025-06-13,180,594,774,23.3
2025-06-14,178,594,772,23.1
2025-06-15,181,594,775,23.4
2025-06-16,178,596,774,23.0
2025-06-17,175,597,772,22.7
2025-06-18,180,596,776,23.2
2025-06-19,179,599,778,23.0
2025-06-20,180,599,779,23.1
2025-06-21,181,598,779,23.2
2025-06-22,184,598,782,23.5
2025-06-23,179,602,781,22.9
2025-06-24,179,603,782,22.9
2025-06-25,177,605,782,22.6
2025-06-26,169,606,775,21.8
2025-06-27,168,606,774,21.7
2025-06-28,167,607,774,21.6
2025-06-29,167,609,776,21.5
2025-06-30,164,612,776,21.1
2025-07-01,160,610,770,20.8
2025-07-02,163,611,774,21.1
2025-07-03,166,602,768,21.6
2025-07-04,161,602,763,21.1
2025-07-05,166,599,765,21.7
2025-07-06,169,598,767,22.0
2025-07-07,169,598,767,22.0
2025-07-08,150,598,748,20.1
2025-07-09,151,598,749,20.2
2025-07-10,156,599,755,20.7
2025-07-11,156,599,755,20.7
2025-07-12,162,599,761,21.3
2025-07-13,160,601,761,21.0
2025-07-14,156,603,759,20.6
2025-07-15,156,603,759,20.6
2025-07-16,154,584,738,20.9
2025-07-17,153,586,739,20.7
2025-07-18,164,586,750,21.9
2025-07-19,162,578,740,21.9
2025-07-20,158,578,736,21.5
